1.2065e+08,9.6233e-14,4.8521e-14
1.2739e+08,9.6083e-14,4.6153e-14
1.3451e+08,9.5195e-14,4.3459e-14
1.4203e+08,9.3317e-14,4.0391e-14
1.4996e+08,9.0114e-14,3.6888e-14
1.5834e+08,8.5143e-14,3.2881e-14
1.6719e+08,7.7823e-14,2.8285e-14
1.7653e+08,6.7408e-14,2.3003e-14
1.8639e+08,5.2913e-14,1.6911e-14
1.9681e+08,3.3037e-14,9.8672e-15
2.0781e+08,6.0821e-15,1.6941e-15
2.1942e+08,3.0161e-14,7.8194e-15
2.3168e+08,7.8566e-14,1.8926e-14
2.4462e+08,1.4281e-13,3.1924e-14
2.5829e+08,2.2748e-13,4.7152e-14
2.7272e+08,3.3811e-13,6.4978e-14
2.8796e+08,4.8106e-13,8.5766e-14
3.0405e+08,6.6294e-13,1.0982e-13
3.2104e+08,8.8962e-13,1.3732e-13
3.3898e+08,1.1648e-12,1.6818e-13
3.5792e+08,1.4884e-12,2.0197e-13
3.7792e+08,1.8555e-12,2.3786e-13
3.9904e+08,2.256e-12,2.7459e-13
4.2133e+08,2.6764e-12,3.1061e-13
4.4488e+08,3.102e-12,3.4428e-13
4.6973e+08,3.5205e-12,3.741e-13
4.9598e+08,3.9237e-12,3.9892e-13
5.2369e+08,4.3075e-12,4.1808e-13
5.5295e+08,4.6719e-12,4.3137e-13
5.8385e+08,5.02e-12,4.3901e-13
6.1648e+08,5.3562e-12,4.415e-13
6.5092e+08,5.6861e-12,4.3949e-13
6.8729e+08,6.0152e-12,4.337e-13
7.257e+08,6.3492e-12,4.2483e-13
7.6624e+08,6.6933e-12,4.1355e-13
8.0906e+08,7.0524e-12,4.0044e-13
8.5427e+08,7.4314e-12,3.8599e-13
9.02e+08,7.8351e-12,3.7064e-13
9.524e+08,8.268e-12,3.5474e-13
1.0056e+09,8.735e-12,3.3858e-13
1.0618e+09,9.241e-12,3.2238e-13
1.1211e+09,9.7914e-12,3.0634e-13
1.1838e+09,1.0392e-11,2.906e-13
1.2499e+09,1.1048e-11,2.7526e-13
1.3198e+09,1.1767e-11,2.6041e-13
1.3935e+09,1.2556e-11,2.4611e-13
1.4714e+09,1.3423e-11,2.324e-13
1.5536e+09,1.4377e-11,2.1929e-13
1.6404e+09,1.5428e-11,2.0681e-13
1.7321e+09,1.6588e-11,1.9495e-13
1.8288e+09,1.7869e-11,1.837e-13
1.931e+09,1.9285e-11,1.7306e-13
2.0389e+09,2.0851e-11,1.63e-13
2.1528e+09,2.2585e-11,1.535e-13
2.2731e+09,2.4507e-11,1.4455e-13
2.4002e+09,2.6639e-11,1.3611e-13
2.5343e+09,2.9004e-11,1.2817e-13
2.6759e+09,3.1632e-11,1.207e-13
2.8254e+09,3.4552e-11,1.1367e-13
2.9833e+09,3.7798e-11,1.0706e-13
3.1499e+09,4.1409e-11,1.0084e-13
3.326e+09,4.5429e-11,9.5001e-14
3.5118e+09,4.9904e-11,8.951e-14
3.708e+09,5.4887e-11,8.4348e-14
3.9152e+09,6.0438e-11,7.9496e-14
4.134e+09,6.6625e-11,7.4935e-14
4.365e+09,7.3522e-11,7.0647e-14
4.6089e+09,8.1206e-11,6.6615e-14
4.8664e+09,8.9772e-11,6.2823e-14
5.1383e+09,9.9325e-11,5.9257e-14
5.4254e+09,1.0998e-10,5.5902e-14
5.7286e+09,1.2185e-10,5.2746e-14
6.0486e+09,1.3509e-10,4.9775e-14
6.3866e+09,1.4985e-10,4.6979e-14
